Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,Revenue,OrderMonth
536741,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,02-12-10 13:11,1.25,13117,United Kingdom,15,2010-12-01
539722,21259,VICTORIAN SEWING BOX SMALL ,2,21-12-10 13:45,5.95,14911,EIRE,11.9,2010-12-01
548808,21162,TOXIC AREA  DOOR HANGER ,1,04-04-11 12:55,1.45,17774,United Kingdom,1.45,2011-04-01
569968,23505,PLAYING CARDS I LOVE LONDON ,2,06-10-11 18:56,1.25,17921,United Kingdom,2.5,2011-10-01
550914,22197,SMALL POPCORN HOLDER,4,21-04-11 13:29,0.85,17061,United Kingdom,3.4,2011-04-01
555343,21272,SALLE DE BAIN HOOK,1,02-06-11 11:42,1.25,15918,United Kingdom,1.25,2011-06-01
580156,23485,BOTANICAL GARDENS WALL CLOCK ,4,02-12-11 10:32,20.8,14897,United Kingdom,83.2,2011-12-01
572662,22980,PANTRY SCRUBBING BRUSH,2,25-10-11 12:54,1.65,15443,United Kingdom,3.3,2011-10-01
566558,22673,FRENCH GARDEN SIGN BLUE METAL,1,13-09-11 11:51,1.25,15311,United Kingdom,1.25,2011-09-01
551056,16235,RECYCLED PENCIL WITH RABBIT ERASER,1,26-04-11 11:51,0.21,16442,United Kingdom,0.21,2011-04-01
543978,22960,JAM MAKING SET WITH JARS,3,14-02-11 15:37,4.25,12867,United Kingdom,12.75,2011-02-01
544355,20681,PINK POLKADOT CHILDRENS UMBRELLA,6,18-02-11 10:53,3.25,12714,France,19.5,2011-02-01
564836,22622,BOX OF VINTAGE ALPHABET BLOCKS,12,30-08-11 12:32,9.95,17402,United Kingdom,119.4,2011-08-01
559903,23091,ZINC HERB GARDEN CONTAINER,3,13-07-11 13:16,6.25,12935,United Kingdom,18.75,2011-07-01
540168,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,2,05-01-11 12:15,1.45,13715,United Kingdom,2.9,2011-01-01
549736,84078A,SET/4 WHITE RETRO STORAGE CUBES ,1,12-04-11 9:02,39.95,13599,United Kingdom,39.95,2011-04-01
575655,23198,PANTRY MAGNETIC  SHOPPING LIST,1,10-11-11 14:28,1.45,16434,United Kingdom,1.45,2011-11-01
544899,37448,CERAMIC CAKE DESIGN SPOTTED MUG,6,24-02-11 12:32,1.49,13118,United Kingdom,8.94,2011-02-01
548768,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,04-04-11 12:34,3.25,17886,United Kingdom,3.25,2011-04-01
544998,22838,3 TIER CAKE TIN RED AND CREAM,1,25-02-11 11:56,14.95,14470,United Kingdom,14.95,2011-02-01
545894,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,6,07-03-11 17:04,0.85,16242,United Kingdom,5.1,2011-03-01
574672,22586,FELTCRAFT HAIRBAND PINK AND BLUE,2,06-11-11 12:25,0.85,13532,United Kingdom,1.7,2011-11-01
541215,22977,DOLLY GIRL CHILDRENS EGG CUP,12,14-01-11 13:42,1.25,14329,United Kingdom,15,2011-01-01
580258,21169,YOU'RE CONFUSING ME METAL SIGN ,48,02-12-11 12:28,1.45,13798,United Kingdom,69.6,2011-12-01
578627,23202,JUMBO BAG VINTAGE LEAF,20,24-11-11 15:41,2.08,14709,United Kingdom,41.6,2011-11-01
544059,21705,BAG 500g SWIRLY MARBLES,3,15-02-11 13:00,1.65,14534,United Kingdom,4.95,2011-02-01
549566,79071B,ENGLISH ROSE METAL WASTE BIN,2,10-04-11 14:27,2.95,13610,United Kingdom,5.9,2011-04-01
564650,23290,SPACEBOY CHILDRENS BOWL,144,26-08-11 14:17,1.05,14646,Netherlands,151.2,2011-08-01
580516,23378,PACK OF 12 50'S CHRISTMAS TISSUES,24,04-12-11 14:15,0.39,17954,United Kingdom,9.36,2011-12-01
578326,23350,ROLL WRAP VINTAGE SPOT ,12,23-11-11 17:45,1.25,16343,United Kingdom,15,2011-11-01
561330,22556,PLASTERS IN TIN CIRCUS PARADE ,12,26-07-11 14:03,1.65,16019,United Kingdom,19.8,2011-07-01
559061,23254,CHILDRENS CUTLERY DOLLY GIRL ,2,06-07-11 10:04,4.15,17220,United Kingdom,8.3,2011-07-01
537378,22339,CHRISTMAS TREE PAINTED ZINC ,24,06-12-10 13:06,0.65,14911,EIRE,15.6,2010-12-01
542241,85152,HAND OVER THE CHOCOLATE   SIGN ,2,26-01-11 14:51,2.1,16409,United Kingdom,4.2,2011-01-01
547669,23002,TRAVEL CARD WALLET SKULLS,24,24-03-11 13:37,0.42,12748,United Kingdom,10.08,2011-03-01
561797,23208,LUNCH BAG VINTAGE LEAF DESIGN,30,29-07-11 13:37,1.65,13178,United Kingdom,49.5,2011-07-01
542231,84050,PINK HEART SHAPE EGG FRYING PAN,9,26-01-11 13:40,1.65,16714,United Kingdom,14.85,2011-01-01
542237,22728,ALARM CLOCK BAKELIKE PINK,4,26-01-11 14:30,3.75,12347,Iceland,15,2011-01-01
550714,22294,HEART FILIGREE DOVE  SMALL,24,20-04-11 11:12,1.25,15249,United Kingdom,30,2011-04-01
562925,22606,WOODEN SKITTLES GARDEN SET,12,10-08-11 14:51,12.75,17389,United Kingdom,153,2011-08-01
575685,23535,WALL ART BICYCLE SAFETY,18,10-11-11 15:57,5.35,15694,United Kingdom,96.3,2011-11-01
569386,23284,DOORMAT KEEP CALM AND COME IN,10,03-10-11 16:48,7.08,15159,United Kingdom,70.8,2011-10-01
550523,23078,ICE CREAM PEN LIP GLOSS ,24,19-04-11 10:08,1.25,15594,United Kingdom,30,2011-04-01
577485,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,20-11-11 11:56,0.55,16360,United Kingdom,1.1,2011-11-01
560103,20839,FRENCH PAISLEY CUSHION COVER ,6,14-07-11 18:44,0.85,17837,United Kingdom,5.1,2011-07-01
560118,21422,PORCELAIN ROSE SMALL,16,15-07-11 10:21,0.85,16818,United Kingdom,13.6,2011-07-01
540515,22117,METAL SIGN HER DINNER IS SERVED ,2,09-01-11 11:54,2.95,15059,United Kingdom,5.9,2011-01-01
557484,22055,MINI CAKE STAND  HANGING STRAWBERY,1,20-06-11 14:36,1.65,14796,United Kingdom,1.65,2011-06-01
561222,22748,POPPY'S PLAYHOUSE KITCHEN,6,26-07-11 9:27,2.1,13588,United Kingdom,12.6,2011-07-01
543983,22178,VICTORIAN GLASS HANGING T-LIGHT,12,15-02-11 9:20,1.25,16979,United Kingdom,15,2011-02-01
568101,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,23-09-11 15:21,4.25,15978,United Kingdom,34,2011-09-01
581402,23337,EGG FRYING PAN MINT ,4,08-12-11 13:45,2.08,14653,United Kingdom,8.32,2011-12-01
557223,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,17-06-11 13:17,1.45,13647,United Kingdom,17.4,2011-06-01
562283,22208,WOOD STAMP SET THANK YOU,12,04-08-11 10:43,0.83,15249,United Kingdom,9.96,2011-08-01
561028,22616,PACK OF 12 LONDON TISSUES ,12,24-07-11 11:06,0.29,17769,United Kingdom,3.48,2011-07-01
580982,22090,PAPER BUNTING RETROSPOT,6,06-12-11 16:21,2.95,17861,United Kingdom,17.7,2011-12-01
576014,22728,ALARM CLOCK BAKELIKE PINK,3,13-11-11 14:29,3.75,17218,United Kingdom,11.25,2011-11-01
567182,22865,HAND WARMER OWL DESIGN,24,18-09-11 15:21,2.1,13334,United Kingdom,50.4,2011-09-01
555845,22666,RECIPE BOX PANTRY YELLOW DESIGN,3,07-06-11 13:19,2.95,17015,United Kingdom,8.85,2011-06-01
539831,22467,GUMBALL COAT RACK,6,22-12-10 13:17,2.55,14606,United Kingdom,15.3,2010-12-01
564171,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,24,23-08-11 14:00,3.39,16133,United Kingdom,81.36,2011-08-01
551351,21169,YOU'RE CONFUSING ME METAL SIGN ,12,28-04-11 10:20,1.45,14298,United Kingdom,17.4,2011-04-01
547822,21558,SKULL LUNCH BOX WITH CUTLERY ,6,25-03-11 14:53,2.55,12668,Germany,15.3,2011-03-01
542607,22195,LARGE HEART MEASURING SPOONS,2,30-01-11 13:48,1.65,13148,United Kingdom,3.3,2011-01-01
571654,22138,BAKING SET 9 PIECE RETROSPOT ,1,18-10-11 12:17,4.95,18118,United Kingdom,4.95,2011-10-01
578032,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,22-11-11 13:41,2.95,16633,United Kingdom,17.7,2011-11-01
538708,21915,RED  HARMONICA IN BOX ,12,14-12-10 10:43,1.25,16202,United Kingdom,15,2010-12-01
538942,22835,HOT WATER BOTTLE I AM SO POORLY,2,15-12-10 11:14,4.65,17346,United Kingdom,9.3,2010-12-01
547703,85049C,ROMANTIC PINKS RIBBONS ,12,24-03-11 17:10,1.25,12540,Spain,15,2011-03-01
557468,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,20-06-11 13:14,1.65,16713,United Kingdom,9.9,2011-06-01
572307,21819,GLITTER CHRISTMAS STAR ,6,23-10-11 15:23,0.39,16905,United Kingdom,2.34,2011-10-01
545721,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,07-03-11 10:52,1.25,15039,United Kingdom,15,2011-03-01
553909,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,19-05-11 19:00,2.95,12951,United Kingdom,17.7,2011-05-01
561514,22624,IVORY KITCHEN SCALES,2,27-07-11 15:14,8.5,14331,United Kingdom,17,2011-07-01
555393,84795B,SUNSET CHECK HAMMOCK,12,02-06-11 17:00,6.95,14221,United Kingdom,83.4,2011-06-01
550359,21935,SUKI  SHOULDER BAG,1,18-04-11 10:41,1.65,17841,United Kingdom,1.65,2011-04-01
559791,47566,PARTY BUNTING,8,12-07-11 12:24,4.95,17675,United Kingdom,39.6,2011-07-01
