CustomerID,CohortMonth,OrderMonth,Revenue,CohortIndex
12347,2010-12-01,2011-06-01,53.1,7
12347,2010-12-01,2010-12-01,15,1
12347,2010-12-01,2011-04-01,13.2,5
12347,2010-12-01,2011-10-01,18,11
12347,2010-12-01,2011-06-01,17,7
12347,2010-12-01,2011-10-01,23.4,11
12347,2010-12-01,2011-01-01,10.2,2
12347,2010-12-01,2011-01-01,15,2
12347,2010-12-01,2010-12-01,15,1
12347,2010-12-01,2011-12-01,13.28,13
12347,2010-12-01,2010-12-01,15,1
12347,2010-12-01,2011-06-01,15,7
12347,2010-12-01,2010-12-01,22.5,1
12347,2010-12-01,2011-01-01,12.5,2
12347,2010-12-01,2010-12-01,15,1
12347,2010-12-01,2010-12-01,23.4,1
12347,2010-12-01,2010-12-01,25.5,1
12348,2010-12-01,2010-12-01,50.4,1
12348,2010-12-01,2010-12-01,20.88,1
12348,2010-12-01,2011-04-01,40,5
12348,2010-12-01,2011-01-01,41.76,2
12348,2010-12-01,2010-12-01,50.4,1
12349,2011-11-01,2011-11-01,17.7,1
12349,2011-11-01,2011-11-01,19.9,1
12349,2011-11-01,2011-11-01,25.5,1
12352,2011-03-01,2011-03-01,17.7,1
12352,2011-03-01,2011-03-01,17.4,1
12352,2011-03-01,2011-03-01,14.85,1
12352,2011-03-01,2011-11-01,10.4,9
12352,2011-03-01,2011-11-01,19.8,9
12352,2011-03-01,2011-09-01,17,7
12352,2011-03-01,2011-03-01,183.75,1
12352,2011-03-01,2011-03-01,19.8,1
12352,2011-03-01,2011-03-01,17.88,1
12354,2011-04-01,2011-04-01,15.6,1
12354,2011-04-01,2011-04-01,20.8,1
12354,2011-04-01,2011-04-01,10.95,1
12354,2011-04-01,2011-04-01,17.7,1
12354,2011-04-01,2011-04-01,10.2,1
12354,2011-04-01,2011-04-01,15.9,1
12355,2011-05-01,2011-05-01,39.6,1
12356,2011-01-01,2011-01-01,83.4,1
12356,2011-01-01,2011-01-01,34.8,1
12356,2011-01-01,2011-01-01,61.2,1
12356,2011-01-01,2011-01-01,30,1
12356,2011-01-01,2011-01-01,50.4,1
12356,2011-01-01,2011-04-01,3.75,4
12356,2011-01-01,2011-01-01,30,1
12356,2011-01-01,2011-01-01,60,1
12356,2011-01-01,2011-01-01,101.88,1
12357,2011-11-01,2011-11-01,26.4,1
12357,2011-11-01,2011-11-01,23.2,1
12357,2011-11-01,2011-11-01,122.04,1
12357,2011-11-01,2011-11-01,15,1
12358,2011-07-01,2011-07-01,17.7,1
12359,2011-02-01,2011-02-01,10.2,1
12359,2011-02-01,2011-02-01,17,1
12359,2011-02-01,2011-02-01,9.95,1
12359,2011-02-01,2011-10-01,15,9
12359,2011-02-01,2011-06-01,19.5,5
12359,2011-02-01,2011-02-01,23.25,1
12359,2011-02-01,2011-10-01,50,9
12359,2011-02-01,2011-02-01,10.5,1
12359,2011-02-01,2011-02-01,7.8,1
12359,2011-02-01,2011-02-01,19.8,1
12359,2011-02-01,2011-02-01,14.85,1
12359,2011-02-01,2011-06-01,16.5,5
12359,2011-02-01,2011-02-01,10.2,1
12359,2011-02-01,2011-02-01,15,1
12360,2011-05-01,2011-05-01,19.8,1
12360,2011-05-01,2011-08-01,6.8,4
12360,2011-05-01,2011-05-01,17.7,1
12360,2011-05-01,2011-10-01,6.8,6
12360,2011-05-01,2011-10-01,12.6,6
12360,2011-05-01,2011-08-01,20.8,4
12360,2011-05-01,2011-05-01,17.7,1
12360,2011-05-01,2011-05-01,10.2,1
12360,2011-05-01,2011-05-01,17.7,1
12360,2011-05-01,2011-08-01,49.8,4
12360,2011-05-01,2011-10-01,23.4,6
12362,2011-02-01,2011-10-01,16.5,9
12362,2011-02-01,2011-12-01,17.7,11
12362,2011-02-01,2011-04-01,15,3
12362,2011-02-01,2011-12-01,11.7,11
12362,2011-02-01,2011-09-01,16.6,8
12362,2011-02-01,2011-12-01,24.9,11
12362,2011-02-01,2011-10-01,14.85,9
12362,2011-02-01,2011-08-01,6.96,7
12362,2011-02-01,2011-12-01,20.8,11
12362,2011-02-01,2011-12-01,20.8,11
12362,2011-02-01,2011-08-01,17.7,7
12362,2011-02-01,2011-10-01,10.2,9
12362,2011-02-01,2011-07-01,17.7,6
12362,2011-02-01,2011-04-01,15,3
12362,2011-02-01,2011-07-01,5.04,6
12362,2011-02-01,2011-08-01,10,7
12362,2011-02-01,2011-10-01,34.68,9
12362,2011-02-01,2011-11-01,30.6,10
12362,2011-02-01,2011-12-01,16.6,11
12362,2011-02-01,2011-08-01,10,7
12362,2011-02-01,2011-04-01,15.6,3
12362,2011-02-01,2011-02-01,16.5,1
12362,2011-02-01,2011-12-01,24.9,11
12362,2011-02-01,2011-10-01,33,9
12362,2011-02-01,2011-02-01,20.4,1
12362,2011-02-01,2011-12-01,20.8,11
12362,2011-02-01,2011-12-01,16.6,11
12363,2011-04-01,2011-04-01,30,1
12363,2011-04-01,2011-04-01,13.2,1
12363,2011-04-01,2011-04-01,13.2,1
12364,2011-08-01,2011-08-01,17,1
12364,2011-08-01,2011-12-01,17.7,5
12364,2011-08-01,2011-12-01,5.04,5
12364,2011-08-01,2011-12-01,10.5,5
12364,2011-08-01,2011-08-01,19.8,1
12365,2011-02-01,2011-02-01,17.7,1
12365,2011-02-01,2011-02-01,15,1
12365,2011-02-01,2011-02-01,12.5,1
12365,2011-02-01,2011-02-01,17.4,1
12365,2011-02-01,2011-02-01,5.04,1
12365,2011-02-01,2011-02-01,320.69,1
12367,2011-12-01,2011-12-01,13.5,1
12367,2011-12-01,2011-12-01,13.5,1
12370,2010-12-01,2010-12-01,61.2,1
12370,2010-12-01,2010-12-01,3.75,1
12370,2010-12-01,2010-12-01,1.25,1
12370,2010-12-01,2011-03-01,12.5,4
12370,2010-12-01,2010-12-01,7.5,1
12370,2010-12-01,2010-12-01,21,1
12370,2010-12-01,2010-12-01,12.5,1
12370,2010-12-01,2011-10-01,27,11
12370,2010-12-01,2011-03-01,22.95,4
12370,2010-12-01,2011-10-01,15,11
12370,2010-12-01,2010-12-01,1.25,1
12370,2010-12-01,2010-12-01,6.25,1
12370,2010-12-01,2011-03-01,12.5,4
12370,2010-12-01,2010-12-01,163.2,1
12370,2010-12-01,2010-12-01,2.95,1
12370,2010-12-01,2011-03-01,15,4
12370,2010-12-01,2010-12-01,12.5,1
12370,2010-12-01,2011-03-01,15,4
12371,2011-10-01,2011-10-01,15,1
12371,2011-10-01,2011-10-01,34,1
12371,2011-10-01,2011-10-01,22.5,1
12372,2011-02-01,2011-05-01,10.5,4
12372,2011-02-01,2011-02-01,10.08,1
12372,2011-02-01,2011-05-01,10.5,4
12372,2011-02-01,2011-05-01,46.8,4
12372,2011-02-01,2011-02-01,23.4,1
12372,2011-02-01,2011-02-01,17.7,1
12372,2011-02-01,2011-09-01,23.4,8
12373,2011-02-01,2011-02-01,39,1
12373,2011-02-01,2011-02-01,19.5,1
12373,2011-02-01,2011-02-01,19.5,1
12375,2011-09-01,2011-09-01,20.8,1
12377,2010-12-01,2010-12-01,30.6,1
12377,2010-12-01,2011-01-01,9.9,2
12377,2010-12-01,2010-12-01,45,1
12377,2010-12-01,2010-12-01,5.04,1
12377,2010-12-01,2011-01-01,17.7,2
12378,2011-08-01,2011-08-01,17.7,1
12378,2011-08-01,2011-08-01,27.04,1
12378,2011-08-01,2011-08-01,35.4,1
12378,2011-08-01,2011-08-01,7.8,1
12378,2011-08-01,2011-08-01,11.7,1
12378,2011-08-01,2011-08-01,15,1
12378,2011-08-01,2011-08-01,18,1
12378,2011-08-01,2011-08-01,17.7,1
