Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
536741,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-02 13:11:00,1.25,13117.0,United Kingdom
539722,21259,VICTORIAN SEWING BOX SMALL ,2,2010-12-21 13:45:00,5.95,14911.0,EIRE
541219,22135,MINI LADLE LOVE HEART PINK,2,2011-01-14 14:06:00,0.42,,United Kingdom
548808,21162,TOXIC AREA  DOOR HANGER ,1,2011-04-04 12:55:00,1.45,17774.0,United Kingdom
569968,23505,PLAYING CARDS I LOVE LONDON ,2,2011-10-06 18:56:00,1.25,17921.0,United Kingdom
550914,22197,SMALL POPCORN HOLDER,4,2011-04-21 13:29:00,0.85,17061.0,United Kingdom
555343,21272,SALLE DE BAIN HOOK,1,2011-06-02 11:42:00,1.25,15918.0,United Kingdom
580156,23485,BOTANICAL GARDENS WALL CLOCK ,4,2011-12-02 10:32:00,20.8,14897.0,United Kingdom
572662,22980,PANTRY SCRUBBING BRUSH,2,2011-10-25 12:54:00,1.65,15443.0,United Kingdom
566558,22673,FRENCH GARDEN SIGN BLUE METAL,1,2011-09-13 11:51:00,1.25,15311.0,United Kingdom
551056,16235,RECYCLED PENCIL WITH RABBIT ERASER,1,2011-04-26 11:51:00,0.21,16442.0,United Kingdom
543978,22960,JAM MAKING SET WITH JARS,3,2011-02-14 15:37:00,4.25,12867.0,United Kingdom
544355,20681,PINK POLKADOT CHILDRENS UMBRELLA,6,2011-02-18 10:53:00,3.25,12714.0,France
564836,22622,BOX OF VINTAGE ALPHABET BLOCKS,12,2011-08-30 12:32:00,9.95,17402.0,United Kingdom
559903,23091,ZINC HERB GARDEN CONTAINER,3,2011-07-13 13:16:00,6.25,12935.0,United Kingdom
540168,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,2,2011-01-05 12:15:00,1.45,13715.0,United Kingdom
549736,84078A,SET/4 WHITE RETRO STORAGE CUBES ,1,2011-04-12 09:02:00,39.95,13599.0,United Kingdom
575655,23198,PANTRY MAGNETIC  SHOPPING LIST,1,2011-11-10 14:28:00,1.45,16434.0,United Kingdom
544899,37448,CERAMIC CAKE DESIGN SPOTTED MUG,6,2011-02-24 12:32:00,1.49,13118.0,United Kingdom
548768,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2011-04-04 12:34:00,3.25,17886.0,United Kingdom
544998,22838,3 TIER CAKE TIN RED AND CREAM,1,2011-02-25 11:56:00,14.95,14470.0,United Kingdom
545894,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,6,2011-03-07 17:04:00,0.85,16242.0,United Kingdom
574672,22586,FELTCRAFT HAIRBAND PINK AND BLUE,2,2011-11-06 12:25:00,0.85,13532.0,United Kingdom
541215,22977,DOLLY GIRL CHILDRENS EGG CUP,12,2011-01-14 13:42:00,1.25,14329.0,United Kingdom
